"Well";"ID";"Date";"Cytometer_run";"Bacteria_AB_mL";"Algal_AB_mL";"Dry_weight_g";"Total_Vol_ml";"Total_Bacteria_AB_g";"Total_Algae_AB_g"
"180";" B12";"246.3";" 06.20.2022";"8";364000;336000;0.055;4;52945454.5454545;48872727.2727273
"181";" C01";"215";" 06.20.2022";"8";930000;449000;0.07;4;106285714.285714;51314285.7142857
"182";" C02";"1";" 06.20.2022";"8";403000;304000;0.051;4;63215686.2745098;47686274.5098039
"183";" C03";"241";" 06.20.2022";"8";922000;545000;0.052;4;141846153.846154;83846153.8461539
"184";" C04";"239";" 06.20.2022";"8";340000;661000;0.078;4;34871794.8717949;67794871.7948718
"185";" C05";"243";" 06.20.2022";"8";744000;396000;0.029;4;205241379.310345;109241379.310345
"186";" C06";"240";" 06.20.2022";"8";593000;277000;0.071;4;66816901.4084507;31211267.6056338
"187";" C07";"236";" 06.20.2022";"8";182000;321000;0.06;4;24266666.6666667;42800000
"188";" C08";"230";" 06.20.2022";"8";421000;469000;0.038;4;88631578.9473684;98736842.1052632
"189";" C09";"242";" 06.20.2022";"8";640000;301000;0.034;4;150588235.294118;70823529.4117647
"190";" C10";"237";" 06.20.2022";"8";364000;260000;0.066;4;44121212.1212121;31515151.5151515
"191";" C11";"234";" 06.20.2022";"8";218000;183000;0.025;4;69760000;58560000
"192";" C12";"231";" 06.20.2022";"8";858000;385000;0.097;4;70762886.5979381;31752577.3195876
"193";" D01";"235";" 06.20.2022";"8";628000;429000;0.05;4;100480000;68640000
"194";" D02";"2";" 06.20.2022";"8";806000;164000;0.229;4;28157205.2401747;5729257.6419214
"195";" D03";"232";" 06.20.2022";"8";522000;158000;0.034;4;122823529.411765;37176470.5882353
"196";" D04";"119";" 06.20.2022";"8";116000;288000;0.03;4;30933333.3333333;76800000
"197";" D05";"37";" 06.20.2022";"8";170000;382000;0.04;4;3.4e+07;76400000
"198";" D06";"39";" 06.20.2022";"8";793000;422000;0.046;4;137913043.478261;73391304.3478261
"199";" D07";"3";" 06.20.2022";"8";631000;546000;0.054;4;93481481.4814815;80888888.8888889
"200";" D08";"238";" 06.20.2022";"8";199000;134000;0.034;4;46823529.4117647;31529411.7647059
"201";" D09";"62";" 06.20.2022";"8";83400;114000;0.024;4;27800000;3.8e+07
"202";" D10";"96";" 06.20.2022";"8";197000;721000;0.093;4;16946236.5591398;62021505.3763441
"203";" D11";"63";" 06.20.2022";"8";638000;15000;0.041;4;124487804.878049;2926829.26829268
"204";" D12";"170";" 06.20.2022";"8";630000;287000;0.037;4;136216216.216216;62054054.0540541
"205";" E01";"127";" 06.20.2022";"8";381000;147000;0.063;4;48380952.3809524;18666666.6666667
"206";" E02";"192";" 06.20.2022";"8";592000;471000;0.039;4;121435897.435897;96615384.6153846
"207";" E03";"36";" 06.20.2022";"8";58300;120000;0.059;4;7905084.74576271;16271186.440678
"208";" E04";"204";" 06.20.2022";"8";57900;152000;0.02;4;23160000;60800000
"209";" E05";"66";" 06.20.2022";"8";250000;265000;0.017;4;117647058.823529;124705882.352941
"210";" E06";"124";" 06.20.2022";"8";25800;204000;0.065;4;3175384.61538462;25107692.3076923
"211";" E07";"196";" 06.20.2022";"8";259000;365000;0.024;4;86333333.3333333;121666666.666667
"212";" E08";"118";" 06.20.2022";"8";554000;508000;0.049;4;90448979.5918367;82938775.5102041
"213";" E09";"79";" 06.20.2022";"8";321000;106000;0.153;4;16784313.7254902;5542483.66013072
"214";" E10";"83";" 06.20.2022";"8";388000;428000;0.04;4;77600000;85600000
"215";" E11";"95";" 06.20.2022";"8";45700;356000;0.064;4;5712500;44500000
"216";" E12";"38";" 06.20.2022";"8";453000;309000;0.035;4;103542857.142857;70628571.4285714
"217";" F01";"34";" 06.20.2022";"8";656000;141000;0.059;4;88949152.5423729;19118644.0677966
"218";" F02";"202";" 06.20.2022";"8";206000;223000;0.034;4;48470588.2352941;52470588.2352941
